acc,node,density,input_scale,rho,fb_scale,leaking_rate,average_window
0.9242,0.925,0.4,0.002,1.45,0,0.75,1
0.9241,0.95,0.3,0.002,1.425,0,0.75,10
0.924,0.825,0.3,0.003,1.4,0,0.75,10
0.924,0.825,0.3,0.003,1.4,0,0.85,10
0.9237,0.875,0.4,0.002,1.325,0,0.85,1
0.9237,0.875,0.4,0.002,1.35,0,0.75,1
0.9237,0.875,0.4,0.002,1.375,0,0.75,1
0.9237,0.875,0.3,0.003,1.3,0,0.9,1
0.9237,0.95,0.3,0.002,1.3,0,0.9,1
0.9237,0.95,0.4,0.002,1.375,0,0.75,1
0.9235,0.85,0.3,0.002,1.3,0,0.85,1
0.9235,0.925,0.3,0.003,1.35,0,0.75,10
0.9233,0.925,0.3,0.002,1.425,0,0.85,1
0.9233,0.925,0.3,0.002,1.425,0,0.9,1
0.9228,0.825,0.5,0.003,1.45,0,0.75,10
0.9225,0.85,0.4,0.002,1.375,0,0.85,1
0.9223,0.825,0.3,0.003,1.375,0,0.9,1
0.922,0.875,0.3,0.002,1.3,0,0.75,1
0.922,0.875,0.4,0.002,1.325,0,0.9,1
0.9218,0.85,0.3,0.002,1.3,0,0.9,1
0.9218,0.85,0.3,0.002,1.325,0,0.9,1
0.9218,0.85,0.4,0.003,1.45,0,0.75,10
0.9218,0.925,0.3,0.003,1.4,0,0.85,10
0.9218,0.925,0.5,0.003,1.45,0,0.85,10
0.9216,0.825,0.4,0.002,1.375,0,0.85,1
0.9213,0.95,0.3,0.002,1.4,0,0.75,10
0.9211,0.825,0.5,0.002,1.3,0,0.9,1
0.9211,0.825,0.3,0.003,1.45,0,0.9,10
0.9211,0.95,0.3,0.003,1.375,0,0.85,10
0.9208,0.85,0.4,0.002,1.45,0,0.9,1
0.9206,0.825,0.3,0.003,1.3,0,0.9,1
0.9206,0.825,0.3,0.003,1.325,0,0.9,1
0.9206,0.825,0.3,0.003,1.375,0,0.75,10
0.9206,0.825,0.3,0.003,1.4,0,0.9,10
0.9206,0.85,0.5,0.002,1.375,0,0.9,10
0.9206,0.875,0.3,0.003,1.35,0,0.75,10
0.9203,0.95,0.3,0.002,1.4,0,0.85,10
0.9201,0.825,0.3,0.003,1.325,0,0.85,1
0.9201,0.825,0.3,0.003,1.35,0,0.9,1
0.9201,0.825,0.3,0.003,1.375,0,0.85,1
0.9201,0.85,0.4,0.003,1.425,0,0.75,10
0.9201,0.85,0.5,0.002,1.45,0,0.9,10
0.9201,0.95,0.3,0.002,1.45,0,0.85,10
0.9201,0.925,0.5,0.003,1.45,0,0.9,10
0.9201,0.95,0.3,0.003,1.45,0,0.75,10
0.9196,0.825,0.3,0.003,1.325,0,0.75,1
0.9196,0.825,0.3,0.003,1.35,0,0.75,1
0.9194,0.925,0.3,0.002,1.4,0,0.85,1
0.9194,0.925,0.3,0.002,1.4,0,0.9,1
0.9194,0.95,0.3,0.003,1.35,0,0.75,10
0.9191,0.85,0.4,0.002,1.425,0,0.85,1
0.9191,0.85,0.4,0.002,1.45,0,0.85,1
0.9189,0.825,0.3,0.003,1.425,0,0.9,10
0.9189,0.825,0.3,0.003,1.45,0,0.85,10
0.9189,0.85,0.4,0.003,1.425,0,0.75,10
0.9189,0.85,0.4,0.003,1.45,0,0.75,10
0.9189,0.925,0.3,0.002,1.35,0,0.75,1
0.9186,0.875,0.4,0.002,1.3,0,0.75,1
0.9186,0.875,0.4,0.002,1.3,0,0.85,1
0.9186,0.875,0.4,0.002,1.3,0,0.9,1
0.9184,0.825,0.3,0.003,1.3,0,0.85,1
0.9184,0.825,0.3,0.003,1.35,0,0.75,10
0.9184,0.825,0.3,0.003,1.375,0,0.75,10
0.9184,0.825,0.3,0.003,1.4,0,0.75,10
0.9184,0.825,0.3,0.003,1.425,0,0.75,10
0.9184,0.825,0.3,0.003,1.45,0,0.75,10
0.9184,0.85,0.5,0.002,1.35,0,0.9,10
0.9184,0.85,0.5,0.002,1.425,0,0.9,10
0.9184,0.925,0.5,0.003,1.425,0,0.85,10
0.9184,0.925,0.5,0.003,1.45,0,0.75,10
0.9179,0.825,0.3,0.003,1.3,0,0.75,1
0.9179,0.825,0.3,0.003,1.35,0,0.85,1
0.9178,0.95,0.3,0.003,1.425,0,0.75,1
0.9178,0.95,0.3,0.003,1.425,0,0.85,1
0.9177,0.825,0.5,0.003,1.45,0,0.85,10
0.9177,0.925,0.4,0.003,1.425,0,0.75,10
0.9177,0.925,0.4,0.003,1.45,0,0.75,10
0.9177,0.95,0.3,0.003,1.35,0,0.85,10
0.9177,0.925,0.5,0.002,1.375,0,0.9,10
0.9174,0.925,0.4,0.002,1.45,0,0.85,1
0.9172,0.85,0.3,0.002,1.35,0,0.9,10
0.9172,0.875,0.3,0.003,1.375,0,0.75,10
0.9172,0.875,0.3,0.003,1.45,0,0.75,10
0.9169,0.875,0.4,0.002,1.325,0,0.75,1
0.9167,0.825,0.3,0.003,1.375,0,0.85,10
0.9167,0.825,0.5,0.003,1.45,0,0.75,10
0.9167,0.825,0.3,0.003,1.4,0,0.85,10
0.9167,0.85,0.4,0.003,1.4,0,0.75,10
0.9167,0.85,0.5,0.002,1.4,0,0.9,10
0.9167,0.875,0.3,0.002,1.425,0,0.9,10
0.9167,0.925,0.3,0.003,1.35,0,0.85,10
0.9167,0.925,0.3,0.003,1.375,0,0.85,10
0.9167,0.925,0.3,0.003,1.4,0,0.9,10
0.9167,0.925,0.3,0.003,1.325,0,0.75,10
0.9167,0.925,0.5,0.003,1.425,0,0.75,10
0.9167,0.925,0.5,0.003,1.425,0,0.9,10
0.9162,0.85,0.5,0.002,1.45,0,0.85,10
0.9162,0.95,0.3,0.003,1.425,0,0.75,10
0.916,0.825,0.5,0.003,1.45,0,0.9,10
0.916,0.875,0.5,0.003,1.4,0,0.9,10
0.916,0.875,0.5,0.003,1.425,0,0.9,10
0.916,0.875,0.5,0.003,1.45,0,0.9,10
0.916,0.925,0.3,0.003,1.425,0,0.9,10
0.916,0.925,0.3,0.003,1.45,0,0.85,10
0.916,0.925,0.3,0.003,1.45,0,0.9,10
0.916,0.925,0.4,0.003,1.425,0,0.85,10
0.916,0.925,0.4,0.003,1.425,0,0.9,10
0.916,0.925,0.4,0.003,1.45,0,0.85,10
0.916,0.925,0.4,0.003,1.45,0,0.9,10
0.916,0.95,0.3,0.003,1.375,0,0.9,10
0.9157,0.85,0.3,0.002,1.4,0,0.85,10
0.9157,0.85,0.3,0.002,1.4,0,0.9,10
0.9157,0.85,0.4,0.002,1.325,0,0.75,10
0.9157,0.925,0.4,0.002,1.45,0,0.9,1
0.9155,0.825,0.3,0.002,1.4,0,0.9,10
0.9155,0.825,0.3,0.003,1.325,0,0.85,10
0.9155,0.825,0.3,0.003,1.35,0,0.9,10
0.9155,0.85,0.5,0.002,1.375,0,0.85,10
0.9155,0.875,0.3,0.003,1.325,0,0.85,10
0.9155,0.875,0.3,0.003,1.35,0,0.85,10
0.9155,0.875,0.3,0.003,1.4,0,0.75,10
0.9155,0.875,0.3,0.003,1.425,0,0.75,10
0.9155,0.85,0.4,0.003,1.45,0,0.85,10
0.9155,0.85,0.4,0.003,1.45,0,0.9,10
0.9155,0.875,0.5,0.003,1.425,0,0.9,10
0.9155,0.875,0.5,0.003,1.45,0,0.9,10
0.9155,0.925,0.4,0.003,1.4,0,0.75,10
0.9155,0.95,0.3,0.003,1.375,0,0.75,10
0.9155,0.95,0.3,0.003,1.45,0,0.9,10
0.9152,0.85,0.3,0.002,1.425,0,0.9,10
0.9152,0.85,0.3,0.002,1.45,0,0.9,10
0.9152,0.825,0.5,0.002,1.45,0,0.85,1
0.915,0.825,0.3,0.003,1.325,0,0.75,10
0.915,0.825,0.3,0.003,1.35,0,0.85,10
0.915,0.825,0.3,0.003,1.375,0,0.9,10
0.915,0.825,0.5,0.003,1.425,0,0.75,10
0.915,0.85,0.3,0.002,1.3,0,0.9,10
0.915,0.85,0.3,0.002,1.325,0,0.9,10
0.915,0.85,0.3,0.002,1.375,0,0.9,10
0.915,0.825,0.3,0.003,1.4,0,0.9,10
0.915,0.825,0.3,0.003,1.425,0,0.85,10
0.915,0.85,0.4,0.003,1.35,0,0.75,10
0.915,0.85,0.4,0.003,1.375,0,0.75,10
0.915,0.85,0.4,0.002,1.325,0,0.9,10
0.915,0.85,0.5,0.002,1.3,0,0.85,10
0.915,0.85,0.5,0.002,1.3,0,0.9,10
0.915,0.85,0.5,0.002,1.325,0,0.85,10
0.915,0.85,0.5,0.002,1.325,0,0.9,10
0.915,0.85,0.5,0.002,1.35,0,0.85,10
0.915,0.85,0.5,0.002,1.4,0,0.85,10
0.915,0.85,0.5,0.002,1.425,0,0.85,10
0.915,0.925,0.3,0.003,1.375,0,0.9,10
0.915,0.925,0.3,0.002,1.375,0,0.9,1
0.915,0.925,0.5,0.002,1.3,0,0.85,10
0.915,0.925,0.5,0.002,1.3,0,0.9,10
0.915,0.925,0.3,0.003,1.3,0,0.75,10
0.915,0.95,0.3,0.003,1.425,0,0.85,10
0.915,0.95,0.3,0.003,1.45,0,0.85,10
0.9148,0.825,0.4,0.002,1.375,0,0.9,1
0.9146,0.85,0.4,0.002,1.3,0,0.85,10
0.9146,0.85,0.4,0.002,1.325,0,0.85,10
0.9146,0.95,0.3,0.002,1.45,0,0.75,10
0.9146,0.95,0.5,0.002,1.4,0,0.75,10
0.9146,0.95,0.4,0.002,1.3,0,0.9,10
0.9143,0.825,0.5,0.003,1.45,0,0.9,10
0.9143,0.875,0.5,0.003,1.375,0,0.9,10
0.9143,0.875,0.5,0.003,1.4,0,0.85,10
0.9143,0.875,0.5,0.003,1.425,0,0.85,10
0.9143,0.925,0.3,0.003,1.425,0,0.85,10
0.9143,0.875,0.5,0.003,1.35,0,0.9,10
0.914,0.925,0.4,0.002,1.4,0,0.75,1
0.9138,0.825,0.3,0.003,1.3,0,0.85,10
0.9138,0.825,0.3,0.003,1.325,0,0.9,10
0.9138,0.825,0.3,0.003,1.375,0,0.85,10
0.9138,0.875,0.3,0.003,1.375,0,0.85,10
0.9138,0.875,0.3,0.003,1.4,0,0.85,10
0.9138,0.875,0.3,0.003,1.4,0,0.9,10
0.9138,0.875,0.3,0.003,1.425,0,0.85,10
0.9138,0.875,0.3,0.003,1.45,0,0.85,10
0.9138,0.875,0.5,0.003,1.45,0,0.85,10
0.9138,0.875,0.5,0.003,1.45,0,0.85,10
0.9138,0.925,0.4,0.003,1.4,0,0.85,10
0.9138,0.925,0.4,0.003,1.4,0,0.9,10
0.9138,0.95,0.3,0.003,1.4,0,0.85,10
0.9138,0.95,0.3,0.003,1.4,0,0.9,10
0.9138,0.925,0.5,0.002,1.4,0,0.9,10
0.9138,0.925,0.5,0.002,1.425,0,0.9,10
0.9135,0.85,0.4,0.002,1.3,0,0.75,10
0.9134,0.825,0.5,0.003,1.45,0,0.85,10
0.9134,0.85,0.3,0.002,1.3,0,0.85,10
0.9134,0.85,0.3,0.002,1.35,0,0.85,10
0.9134,0.85,0.4,0.003,1.45,0,0.85,10
0.9134,0.875,0.3,0.002,1.45,0,0.9,10
0.9134,0.925,0.3,0.003,1.35,0,0.9,10
0.9134,0.925,0.4,0.003,1.35,0,0.75,10
0.9134,0.925,0.4,0.003,1.375,0,0.75,10
0.9134,0.925,0.4,0.003,1.4,0,0.75,10
0.9134,0.875,0.5,0.003,1.4,0,0.85,10
0.9134,0.875,0.5,0.003,1.4,0,0.9,10
0.9134,0.875,0.5,0.003,1.425,0,0.85,10
0.9134,0.925,0.3,0.002,1.375,0,0.85,1
0.9134,0.925,0.5,0.002,1.3,0,0.75,10
0.9134,0.925,0.5,0.002,1.325,0,0.85,10
0.9134,0.925,0.3,0.003,1.325,0,0.85,10
0.9134,0.95,0.3,0.003,1.325,0,0.75,10
0.9134,0.925,0.5,0.003,1.4,0,0.85,10
0.9134,0.925,0.5,0.003,1.4,0,0.9,10
0.9131,0.825,0.4,0.002,1.45,0,0.75,1
0.9131,0.85,0.4,0.002,1.4,0,0.75,1
0.9131,0.85,0.4,0.002,1.425,0,0.75,1
0.9129,0.825,0.3,0.002,1.45,0,0.85,10
0.9129,0.85,0.3,0.002,1.3,0,0.75,10
0.9129,0.85,0.3,0.002,1.375,0,0.85,10
0.9129,0.875,0.3,0.003,1.325,0,0.75,10
0.9129,0.925,0.3,0.002,1.325,0,0.75,1
0.9129,0.95,0.3,0.003,1.4,0,0.75,10
0.9129,0.95,0.4,0.002,1.325,0,0.85,10
0.9129,0.95,0.4,0.002,1.325,0,0.9,10
0.9126,0.85,0.5,0.003,1.45,0,0.9,10
0.9126,0.85,0.4,0.002,1.375,0,0.75,1
0.9126,0.875,0.4,0.003,1.45,0,0.9,10
0.9126,0.875,0.5,0.003,1.375,0,0.85,10
0.9126,0.925,0.3,0.003,1.4,0,0.85,10
0.9126,0.875,0.5,0.003,1.35,0,0.85,10
0.9122,0.825,0.5,0.002,1.45,0,0.9,1
0.9121,0.825,0.5,0.003,1.4,0,0.85,10
0.9121,0.825,0.5,0.003,1.4,0,0.9,10
0.9121,0.825,0.5,0.003,1.425,0,0.85,10
0.9121,0.825,0.5,0.003,1.425,0,0.9,10
0.9121,0.825,0.3,0.003,1.375,0,0.9,10
0.9121,0.875,0.3,0.003,1.325,0,0.9,10
0.9121,0.875,0.3,0.003,1.35,0,0.9,10
0.9121,0.875,0.3,0.003,1.375,0,0.9,10
0.9121,0.875,0.3,0.003,1.425,0,0.9,10
0.9121,0.875,0.3,0.003,1.45,0,0.9,10
0.9121,0.85,0.4,0.003,1.425,0,0.85,10
0.9121,0.85,0.4,0.003,1.425,0,0.9,10
0.9121,0.925,0.3,0.002,1.375,0,0.75,10
0.9121,0.925,0.3,0.003,1.4,0,0.75,10
0.9121,0.925,0.3,0.003,1.425,0,0.75,10
0.9121,0.925,0.3,0.003,1.45,0,0.75,10
0.9121,0.925,0.4,0.003,1.375,0,0.75,10
0.9121,0.925,0.4,0.003,1.375,0,0.85,10
0.9121,0.925,0.4,0.003,1.375,0,0.9,10
0.9121,0.925,0.5,0.002,1.325,0,0.9,10
0.9121,0.875,0.5,0.003,1.325,0,0.9,10
0.9121,0.95,0.3,0.003,1.325,0,0.85,10
0.9117,0.825,0.3,0.002,1.425,0,0.9,10
0.9117,0.85,0.3,0.002,1.325,0,0.85,10
0.9117,0.825,0.4,0.003,1.425,0,0.75,10
0.9117,0.825,0.4,0.003,1.45,0,0.75,10
0.9117,0.825,0.4,0.003,1.4,0,0.75,10
0.9117,0.85,0.4,0.003,1.325,0,0.75,10
0.9117,0.85,0.4,0.003,1.4,0,0.85,10
0.9117,0.85,0.4,0.003,1.425,0,0.9,10
0.9117,0.85,0.5,0.002,1.35,0,0.75,10
0.9117,0.925,0.4,0.003,1.325,0,0.75,10
0.9117,0.925,0.4,0.003,1.425,0,0.75,10
0.9117,0.875,0.5,0.003,1.375,0,0.9,10
0.9117,0.875,0.5,0.003,1.4,0,0.75,10
0.9117,0.875,0.5,0.003,1.425,0,0.75,10
0.9117,0.875,0.5,0.003,1.45,0,0.75,10
0.9117,0.925,0.3,0.002,1.35,0,0.85,1
0.9117,0.925,0.4,0.003,1.3,0,0.9,10
0.9117,0.925,0.4,0.003,1.325,0,0.9,10
0.9117,0.925,0.4,0.003,1.35,0,0.9,10
0.9117,0.95,0.5,0.002,1.425,0,0.75,10
0.9117,0.925,0.5,0.003,1.35,0,0.85,10
0.9117,0.925,0.5,0.003,1.35,0,0.9,10
0.9117,0.925,0.5,0.003,1.375,0,0.85,10
0.9117,0.925,0.5,0.003,1.375,0,0.9,10
0.9117,0.925,0.5,0.003,1.4,0,0.75,10
0.9117,0.95,0.3,0.003,1.425,0,0.9,10
0.9117,0.95,0.4,0.003,1.45,0,0.75,10
0.9117,0.95,0.4,0.003,1.325,0,0.85,10
0.9117,0.95,0.4,0.003,1.375,0,0.75,10
0.9117,0.95,0.4,0.003,1.4,0,0.75,10
0.9117,0.95,0.4,0.003,1.45,0,0.9,10
0.9112,0.85,0.4,0.003,1.425,0,0.85,10
0.9112,0.95,0.3,0.003,1.3,0,0.75,10
0.9112,0.95,0.4,0.002,1.3,0,0.85,10
0.9112,0.95,0.4,0.003,1.45,0,0.85,10
0.9109,0.875,0.4,0.003,1.425,0,0.9,10
0.9109,0.875,0.4,0.003,1.45,0,0.85,10
0.9109,0.85,0.5,0.003,1.45,0,0.85,10
0.9109,0.925,0.3,0.003,1.35,0,0.9,10
0.9109,0.925,0.3,0.003,1.375,0,0.85,10
0.9109,0.925,0.3,0.003,1.375,0,0.9,10
0.9109,0.925,0.3,0.003,1.4,0,0.9,10
0.9109,0.925,0.4,0.003,1.425,0,0.85,10
0.9109,0.925,0.4,0.003,1.425,0,0.9,10
0.9109,0.95,0.3,0.003,1.35,0,0.9,10
0.9107,0.925,0.3,0.002,1.3,0,0.75,1
0.9105,0.925,0.4,0.002,1.425,0,0.9,1
0.9104,0.825,0.3,0.003,1.3,0,0.9,10
0.9104,0.825,0.5,0.003,1.375,0,0.85,10
0.9104,0.825,0.5,0.003,1.375,0,0.9,10
0.9104,0.825,0.5,0.003,1.425,0,0.85,10
0.9104,0.85,0.5,0.003,1.45,0,0.75,10
0.9104,0.85,0.5,0.003,1.45,0,0.85,10
0.9104,0.85,0.5,0.003,1.45,0,0.9,10
0.9104,0.875,0.3,0.002,1.4,0,0.9,10
0.9104,0.925,0.3,0.002,1.35,0,0.75,10
0.9104,0.925,0.4,0.002,1.35,0,0.9,10
0.9104,0.925,0.5,0.002,1.35,0,0.85,10
0.9104,0.925,0.5,0.002,1.35,0,0.9,10
0.91,0.85,0.3,0.002,1.35,0,0.75,10
0.91,0.85,0.3,0.002,1.375,0,0.75,10
0.91,0.825,0.3,0.003,1.35,0,0.75,10
0.91,0.825,0.3,0.003,1.35,0,0.9,10
0.91,0.825,0.4,0.003,1.375,0,0.75,10
0.91,0.825,0.5,0.003,1.425,0,0.75,10
0.91,0.85,0.4,0.002,1.35,0,0.85,10
0.91,0.85,0.4,0.003,1.45,0,0.9,10
0.91,0.85,0.5,0.002,1.45,0,0.75,10
0.91,0.85,0.4,0.003,1.4,0,0.75,10
0.91,0.85,0.5,0.003,1.425,0,0.9,10
0.91,0.925,0.3,0.003,1.325,0,0.9,10
0.91,0.925,0.4,0.003,1.35,0,0.85,10
0.91,0.925,0.4,0.003,1.375,0,0.85,10
0.91,0.875,0.5,0.003,1.325,0,0.75,10
0.91,0.875,0.5,0.003,1.325,0,0.85,10
0.91,0.875,0.5,0.003,1.325,0,0.9,10
0.91,0.875,0.5,0.003,1.35,0,0.85,10
0.91,0.875,0.5,0.003,1.35,0,0.9,10
0.91,0.925,0.3,0.002,1.35,0,0.9,1
0.91,0.925,0.4,0.002,1.325,0,0.9,10
0.91,0.925,0.4,0.003,1.3,0,0.75,10
0.91,0.925,0.4,0.003,1.3,0,0.85,10
0.91,0.925,0.4,0.003,1.325,0,0.75,10
0.91,0.925,0.4,0.003,1.325,0,0.85,10
0.91,0.925,0.4,0.003,1.35,0,0.75,10
0.91,0.925,0.4,0.003,1.35,0,0.85,10
0.91,0.925,0.5,0.002,1.325,0,0.75,10
0.91,0.875,0.5,0.003,1.3,0,0.85,10
0.91,0.875,0.5,0.003,1.3,0,0.9,10
0.91,0.875,0.5,0.003,1.325,0,0.85,10
0.91,0.925,0.5,0.002,1.45,0,0.85,10
0.91,0.925,0.5,0.002,1.45,0,0.9,10
0.91,0.925,0.3,0.003,1.3,0,0.85,10
0.91,0.925,0.4,0.003,1.3,0,0.75,10
0.91,0.925,0.5,0.002,1.375,0,0.85,10
0.91,0.925,0.5,0.002,1.4,0,0.85,10
0.91,0.925,0.5,0.002,1.425,0,0.85,10
0.91,0.925,0.5,0.003,1.325,0,0.75,10
0.91,0.925,0.5,0.003,1.325,0,0.85,10
0.91,0.925,0.5,0.003,1.325,0,0.9,10
0.91,0.925,0.5,0.003,1.35,0,0.75,10
0.91,0.925,0.5,0.003,1.375,0,0.75,10
0.91,0.95,0.3,0.003,1.35,0,0.75,10
0.91,0.95,0.4,0.003,1.325,0,0.9,10
0.91,0.95,0.4,0.003,1.35,0,0.85,10
0.91,0.95,0.4,0.003,1.35,0,0.9,10
0.91,0.95,0.4,0.003,1.375,0,0.85,10
0.91,0.95,0.4,0.003,1.375,0,0.9,10
0.91,0.95,0.4,0.003,1.4,0,0.85,10
0.91,0.95,0.4,0.003,1.425,0,0.9,10
0.91,0.95,0.4,0.003,1.45,0,0.85,10
0.9095,0.825,0.3,0.003,1.3,0,0.75,10
0.9095,0.85,0.3,0.002,1.325,0,0.75,10
0.9095,0.875,0.3,0.003,1.3,0,0.75,10
0.9095,0.85,0.5,0.002,1.375,0,0.75,10
0.9095,0.875,0.5,0.003,1.375,0,0.75,10
0.9095,0.875,0.5,0.003,1.375,0,0.85,10
0.9095,0.925,0.3,0.002,1.325,0,0.85,1
0.9095,0.95,0.3,0.003,1.375,0,0.75,10
0.9095,0.95,0.4,0.003,1.4,0,0.9,10
0.9095,0.95,0.4,0.003,1.35,0,0.75,10
0.909,0.875,0.4,0.003,1.4,0,0.75,10
0.909,0.875,0.4,0.003,1.425,0,0.75,10
0.909,0.875,0.4,0.003,1.45,0,0.75,10
0.909,0.95,0.4,0.003,1.45,0,0.9,10
0.9088,0.825,0.4,0.003,1.375,0,0.9,10
0.9088,0.825,0.5,0.003,1.425,0,0.9,10
0.9088,0.825,0.5,0.003,1.375,0,0.75,10
0.9088,0.85,0.3,0.003,1.45,0,0.75,10
0.9088,0.85,0.3,0.003,1.45,0,0.85,10
0.9088,0.85,0.3,0.003,1.45,0,0.9,10
0.9088,0.85,0.5,0.003,1.425,0,0.85,10
0.9088,0.85,0.5,0.003,1.425,0,0.9,10
0.9088,0.875,0.4,0.003,1.4,0,0.85,10
0.9088,0.875,0.4,0.003,1.4,0,0.9,10
0.9088,0.875,0.4,0.003,1.425,0,0.85,10
0.9088,0.875,0.4,0.003,1.45,0,0.75,10
0.9088,0.875,0.5,0.003,1.4,0,0.75,10
0.9088,0.925,0.4,0.003,1.4,0,0.9,10
0.9088,0.925,0.3,0.002,1.375,0,0.9,10
0.9088,0.925,0.4,0.003,1.45,0,0.85,10
0.9088,0.95,0.3,0.003,1.3,0,0.85,10
0.9088,0.95,0.3,0.003,1.3,0,0.9,10
0.9088,0.95,0.3,0.003,1.325,0,0.9,10
0.9088,0.925,0.4,0.002,1.375,0,0.9,10
0.9088,0.925,0.4,0.002,1.425,0,0.75,1
0.9088,0.95,0.5,0.002,1.425,0,0.85,10
0.9083,0.825,0.3,0.002,1.375,0,0.9,10
0.9083,0.825,0.3,0.002,1.425,0,0.85,10
0.9083,0.825,0.4,0.003,1.45,0,0.85,10
0.9083,0.825,0.4,0.003,1.45,0,0.9,10
0.9083,0.825,0.3,0.003,1.35,0,0.85,10
0.9083,0.85,0.3,0.003,1.35,0,0.85,10
0.9083,0.85,0.4,0.003,1.4,0,0.9,10
0.9083,0.85,0.5,0.002,1.4,0,0.75,10
0.9083,0.875,0.3,0.002,1.425,0,0.85,10
0.9083,0.85,0.4,0.003,1.375,0,0.75,10
0.9083,0.85,0.4,0.003,1.375,0,0.85,10
0.9083,0.85,0.4,0.003,1.375,0,0.9,10
0.9083,0.85,0.4,0.003,1.4,0,0.85,10
0.9083,0.85,0.4,0.003,1.4,0,0.9,10
0.9083,0.85,0.5,0.003,1.4,0,0.9,10
0.9083,0.875,0.5,0.003,1.425,0,0.75,10
0.9083,0.875,0.5,0.003,1.45,0,0.75,10
0.9083,0.925,0.4,0.003,1.325,0,0.85,10
0.9083,0.925,0.4,0.003,1.35,0,0.9,10
0.9083,0.925,0.4,0.003,1.375,0,0.9,10
0.9083,0.925,0.4,0.003,1.4,0,0.85,10
0.9083,0.925,0.3,0.002,1.325,0,0.75,10
0.9083,0.925,0.3,0.002,1.35,0,0.9,10
0.9083,0.925,0.3,0.003,1.325,0,0.75,10
0.9083,0.925,0.5,0.002,1.35,0,0.75,10
0.9083,0.875,0.5,0.003,1.3,0,0.75,10
0.9083,0.875,0.5,0.003,1.325,0,0.75,10
0.9083,0.925,0.3,0.003,1.3,0,0.9,10
0.9083,0.95,0.4,0.003,1.3,0,0.9,10
0.9083,0.95,0.4,0.003,1.325,0,0.85,10
0.9083,0.95,0.4,0.003,1.325,0,0.9,10
0.9083,0.95,0.4,0.003,1.35,0,0.85,10
0.9083,0.95,0.4,0.003,1.35,0,0.9,10
0.9083,0.925,0.5,0.003,1.3,0,0.9,10
0.9083,0.95,0.3,0.003,1.325,0,0.85,10
0.9083,0.95,0.3,0.003,1.325,0,0.9,10
0.9083,0.95,0.3,0.003,1.375,0,0.9,10
0.9083,0.95,0.4,0.003,1.3,0,0.9,10
0.9083,0.95,0.4,0.003,1.4,0,0.9,10
0.9083,0.95,0.4,0.003,1.425,0,0.75,10
0.9083,0.95,0.4,0.003,1.425,0,0.85,10
0.9083,0.95,0.4,0.003,1.45,0,0.75,10
0.9083,0.95,0.4,0.002,1.35,0,0.9,10
0.9078,0.825,0.3,0.002,1.45,0,0.9,10
0.9078,0.85,0.4,0.002,1.3,0,0.9,10
0.9078,0.85,0.4,0.003,1.375,0,0.85,10
0.9078,0.85,0.5,0.002,1.325,0,0.75,10
0.9078,0.875,0.5,0.003,1.3,0,0.75,10
0.9078,0.875,0.5,0.003,1.3,0,0.85,10
0.9078,0.875,0.5,0.003,1.3,0,0.9,10
0.9078,0.875,0.3,0.002,1.45,0,0.85,10
0.9078,0.875,0.5,0.003,1.35,0,0.75,10
0.9078,0.925,0.3,0.002,1.3,0,0.85,1
0.9078,0.95,0.4,0.003,1.375,0,0.85,10
0.9078,0.95,0.4,0.003,1.375,0,0.9,10
0.9078,0.95,0.4,0.003,1.4,0,0.75,10
0.9078,0.925,0.5,0.002,1.375,0,0.75,10
0.9078,0.925,0.5,0.002,1.4,0,0.75,10
0.9078,0.95,0.3,0.003,1.375,0,0.85,10
0.9078,0.95,0.3,0.003,1.4,0,0.85,10
0.9078,0.95,0.4,0.003,1.4,0,0.85,10
0.9075,0.85,0.3,0.002,1.425,0,0.85,10
0.9075,0.85,0.4,0.002,1.45,0,0.75,1
0.9073,0.875,0.4,0.003,1.375,0,0.75,10
0.9073,0.875,0.4,0.003,1.375,0,0.85,10
0.9073,0.875,0.4,0.003,1.375,0,0.9,10
0.9073,0.875,0.4,0.003,1.4,0,0.85,10
0.9073,0.875,0.4,0.003,1.4,0,0.9,10
0.9073,0.875,0.4,0.003,1.425,0,0.85,10
0.9073,0.875,0.4,0.003,1.425,0,0.9,10
0.9073,0.875,0.4,0.003,1.45,0,0.85,10
0.9073,0.875,0.4,0.003,1.45,0,0.9,10
0.9073,0.95,0.4,0.003,1.425,0,0.85,10
0.9073,0.95,0.4,0.003,1.425,0,0.9,10
0.9071,0.85,0.5,0.003,1.325,0,0.9,10
0.9071,0.825,0.5,0.003,1.325,0,0.85,10
0.9071,0.825,0.5,0.003,1.325,0,0.9,10
0.9071,0.825,0.5,0.003,1.35,0,0.75,10
0.9071,0.825,0.5,0.003,1.35,0,0.85,10
0.9071,0.825,0.5,0.003,1.35,0,0.9,10
0.9071,0.85,0.3,0.003,1.425,0,0.75,10
0.9071,0.925,0.3,0.002,1.375,0,0.85,10
0.9071,0.925,0.3,0.002,1.4,0,0.85,10
0.9071,0.925,0.4,0.003,1.45,0,0.9,10
0.9071,0.95,0.5,0.002,1.375,0,0.9,10
0.9068,0.85,0.3,0.002,1.4,0,0.75,10
0.9066,0.825,0.3,0.002,1.4,0,0.85,10
0.9066,0.825,0.5,0.003,1.4,0,0.75,10
0.9066,0.825,0.4,0.003,1.4,0,0.9,10
0.9066,0.825,0.4,0.003,1.425,0,0.85,10
0.9066,0.825,0.4,0.003,1.425,0,0.9,10
