682,312,432,422,248,397,999
690,315,438,427,251,403,999
694,317,442,431,251,405,999
696,317,443,432,252,407,999
702,319,449,436,254,411,999
702,319,449,436,254,411,999
708,321,453,439,256,415,999
707,320,454,439,256,415,999
708,321,455,440,256,415,999
711,322,456,442,257,417,999
709,321,453,441,256,417,999
713,323,457,444,257,419,999
711,322,456,442,256,417,999
713,322,458,443,257,418,999
714,323,460,443,257,419,999
713,322,458,442,257,418,999
716,323,460,443,257,420,999
713,322,457,442,256,418,999
716,324,458,443,257,420,999
714,323,456,442,256,419,999
714,323,460,442,256,418,999
716,324,459,443,257,420,999
714,323,458,441,256,419,999
717,324,459,443,256,420,999
714,323,457,441,256,419,999
716,324,459,441,256,419,999
716,324,459,442,256,420,999
715,323,456,440,256,418,999
718,324,461,441,256,420,999
715,323,457,439,254,418,999
717,324,460,440,256,419,999
715,324,460,440,255,419,999
715,324,460,439,254,418,999
716,324,463,440,255,419,999
715,323,461,438,254,418,999
717,324,460,439,254,419,999
715,323,460,437,254,418,999
715,324,461,437,254,418,999
716,325,461,438,254,419,999
715,324,460,437,253,417,999
717,324,460,438,254,418,999
715,323,460,436,254,417,999
716,324,462,437,254,418,999
715,324,460,437,253,417,999
714,324,459,435,253,417,999
716,325,460,437,254,418,999
714,324,458,435,253,416,999
716,324,459,436,253,417,999
715,324,459,435,253,416,999
715,324,460,435,253,416,999
716,324,460,436,253,417,999
714,324,460,435,252,416,999
717,324,462,436,253,417,999
714,323,461,435,252,416,999
715,324,460,436,253,416,999
715,324,461,436,253,417,999
714,324,458,435,252,416,999
716,325,463,437,253,417,999
714,324,460,435,252,415,999
716,324,461,436,253,417,999
714,324,461,435,253,416,999
715,323,461,435,253,415,999
716,324,461,436,253,417,999
714,323,462,435,252,416,999
716,324,462,436,253,416,999
714,323,459,435,252,415,999
715,324,462,435,253,416,999
715,324,462,435,253,416,999
714,323,460,435,252,415,999
715,324,461,436,253,416,999
712,322,459,434,252,415,999
714,323,460,435,253,416,999
712,322,460,435,252,415,999
712,322,459,434,253,415,999
714,322,460,435,252,416,999
711,322,458,434,252,415,999
713,322,459,435,253,416,999
711,321,457,434,252,415,999
712,322,458,434,252,415,999
712,322,459,435,253,415,999
711,321,458,434,252,414,999
713,322,456,435,252,415,999
710,321,457,434,252,414,999
713,322,457,435,253,415,999
712,322,457,435,253,415,999
711,321,456,434,253,414,999
713,322,457,435,253,415,999
711,321,456,434,252,414,999
713,322,457,436,253,415,999
710,321,456,434,252,415,999
711,322,457,434,252,414,999
712,322,458,435,253,415,999
711,321,457,434,252,414,999
713,322,459,436,252,415,999
711,321,458,434,252,413,999
712,322,458,435,252,415,999
711,321,458,436,252,414,999
711,321,456,434,252,413,999
713,322,459,435,253,415,999
